sample,spot,206Pb/238U,206Pb/238U_sigma,discordance,include
YC01,YC01@01,730.9,7.3,-2.9,yes
YC01,YC01@02,733.5,7.5,-1.1,yes
YC01,YC01@03,743.9,7.8,-5.9,no
YC01,YC01@04,749.4,7.6,-5,no
YC01,YC01@05,755.3,8,-5.1,no
YC01,YC01@06,755.6,7.6,1.2,no
YC01,YC01@07,756.1,7.6,0.4,no
YC01,YC01@08,762,7.6,3.6,no
YC01,YC01@09,764.1,7.6,-0.8,no
YC01,YC01@10,768,7.7,1.4,no
YC01,YC01@11,768.5,7.7,-6.4,no
YC01,YC01@12,768.6,7.7,7.5,no
YC01,YC01@13,769.7,7.7,6.1,no
YC01,YC01@14,771.5,7.8,-3,no
YC01,YC01@15,773.3,7.7,9.6,no
YC01,YC01@16,773.4,7.7,4.8,no
YC01,YC01@17,773.8,7.8,7.5,no
YC01,YC01@18,773.9,7.8,0.7,no
YC01,YC01@19,773.9,7.8,-8.9,no
YC01,YC01@20,773.9,7.7,-4.3,no
YC01,YC01@21,774.5,7.9,1.6,no
YC01,YC01@22,776.9,7.8,0.5,no
YC01,YC01@23,778.6,8.2,-1.9,no
YC01,YC01@24,781.1,7.9,1.5,no
YC01,YC01@25,782.1,8.1,2,no
YC01,YC01@26,783.1,7.9,2.6,no
YC01,YC01@27,786.8,8.2,-0.3,no
YC01,YC01@28,787.2,7.9,-4.5,no
YC01,YC01@29,789.7,8.2,-4.4,no
YC01,YC01@30,790,8,5.5,no
YC01,YC01@31,791.3,8,-2.2,no
YC01,YC01@32,801.8,10.4,5.2,no
