tab	specimens
specimen	experiments	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	location	site
16tr001b	16tr001b:LP-DIR-T	16tr001b				HT	303.0	70.7	1	7	0	0.0	2.9				941	923	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr001
16tr001b	16tr001b:LP-DIR-T	16tr001b				HT	19.5	39.0	1	7	100	0.0	2.9				941	923	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr001
16tr001c	16tr001c:LP-DIR-T	16tr001c				HT	319.0	48.0	1	6	0	0.0	6.1				933	888	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr001
16tr001c	16tr001c:LP-DIR-T	16tr001c				HT	357.2	24.3	1	6	100	0.0	6.1				933	888	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr001
16tr001d	16tr001d:LP-DIR-T	16tr001d				HT	296.1	46.8	2	4	0	0.0	8.5				944	935	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr001
16tr001d	16tr001d:LP-DIR-T	16tr001d				LT	355.9	29.2	2	4	0	37.1	17.7				853	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr001
16tr001d	16tr001d:LP-DIR-T	16tr001d				HT	348.5	37.9	2	4	100	0.0	8.5				944	935	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr001
16tr001d	16tr001d:LP-DIR-T	16tr001d				LT	2.9	-9.2	2	4	100	37.1	17.7				853	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr001
16tr001e		16tr001e																								1e-05		16tr001
16tr001f	16tr001f:LP-DIR-T	16tr001f				HT	6.8	37.3	1	11	100	0.0	10.5				950	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr001
16tr001f	16tr001f:LP-DIR-T	16tr001f				HT	303.5	60.6	1	11	0	0.0	10.5				950	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr001
16tr001g		16tr001g																								1e-05		16tr001
16tr001h	16tr001h:LP-DIR-T	16tr001h				HT	315.8	59.7	2	11	0	0.0	3.9				961	935	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr001
16tr001h	16tr001h:LP-DIR-T	16tr001h				LT	353.6	52.7	2	4	0	19.2	4.2				908	773	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr001
16tr001h	16tr001h:LP-DIR-T	16tr001h				HT	8.1	31.2	2	11	100	0.0	3.9				961	935	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr001
16tr001h	16tr001h:LP-DIR-T	16tr001h				LT	15.8	10.6	2	4	100	19.2	4.2				908	773	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr001
16tr001i	16tr001i:LP-DIR-T	16tr001i				HT	287.4	70.9	1	8	0	0.0	4.2				963	942	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr001
16tr001i	16tr001i:LP-DIR-T	16tr001i				HT	20.2	44.1	1	8	100	0.0	4.2				963	942	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr001
16tr001j	16tr001j:LP-DIR-T	16tr001j				LT	345.2	51.4	2	5	0	26.7	8.3				893	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr001
16tr001j	16tr001j:LP-DIR-T	16tr001j				HT	289.6	50.9	2	9	0	0.0	4.5				961	941	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr001
16tr001j	16tr001j:LP-DIR-T	16tr001j				LT	10.9	13.0	2	5	100	26.7	8.3				893	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr001
16tr001j	16tr001j:LP-DIR-T	16tr001j				HT	352.4	43.1	2	9	100	0.0	4.5				961	941	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr001
16tr003a	16tr003a:LP-DIR-T	16tr003a				LT	349.6	37.4	2	4	0	72.7	5.8				573	273	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr003
16tr003a	16tr003a:LP-DIR-T	16tr003a				HT	213.5	7.9	2	3	0	0.0	4.1				963	960	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr003
16tr003a	16tr003a:LP-DIR-T	16tr003a				LT	6.2	3.6	2	4	100	72.7	5.8				573	273	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr003
16tr003a	16tr003a:LP-DIR-T	16tr003a				HT	199.2	56.6	2	3	100	0.0	4.1				963	960	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr003
16tr003b	16tr003b:LP-DIR-T	16tr003b				HT	25.2	39.5	2	7	100	0.0	2.5				963	945	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr003
16tr003b	16tr003b:LP-DIR-T	16tr003b				HT	307.3	70.5	2	7	0	0.0	2.5				963	945	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr003
16tr003b	16tr003b:LP-DIR-T	16tr003b				LT	21.6	-12.4	2	4	100	42.0	19.0				573	273	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr003
16tr003b	16tr003b:LP-DIR-T	16tr003b				LT	16.2	33.2	2	4	0	42.0	19.0				573	273	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr003
16tr003c	16tr003c:LP-DIR-T	16tr003c				LT	359.8	61.2	2	5	0	51.0	2.9				893	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr003
16tr003c	16tr003c:LP-DIR-T	16tr003c				HT	218.9	40.0	2	7	0	0.0	5.0				957	941	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr003
16tr003c	16tr003c:LP-DIR-T	16tr003c				LT	27.3	17.1	2	5	100	51.0	2.9				893	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr003
16tr003c	16tr003c:LP-DIR-T	16tr003c				HT	122.2	81.0	2	7	100	0.0	5.0				957	941	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr003
16tr003d	16tr003d:LP-DIR-T	16tr003d				LT	7.5	43.0	2	4	0	34.2	11.0				573	273	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr003
16tr003d	16tr003d:LP-DIR-T	16tr003d				HT	220.3	80.7	2	12	0	0.0	7.0				963	930	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr003
16tr003d	16tr003d:LP-DIR-T	16tr003d				LT	20.4	-0.4	2	4	100	34.2	11.0				573	273	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr003
16tr003d	16tr003d:LP-DIR-T	16tr003d				HT	52.4	46.9	2	12	100	0.0	7.0				963	930	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr003
16tr003e	16tr003e:LP-DIR-T	16tr003e				HT	123.0	73.2	2	5	100	0.0	14.1				963	955	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr003
16tr003e	16tr003e:LP-DIR-T	16tr003e				HT	208.6	40.8	2	5	0	0.0	14.1				963	955	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr003
16tr003e	16tr003e:LP-DIR-T	16tr003e				LT	339.7	62.8	2	4	0	25.5	3.0				893	673	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr003
16tr003e	16tr003e:LP-DIR-T	16tr003e				LT	21.7	25.1	2	4	100	25.5	3.0				893	673	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr003
16tr003f	16tr003f:LP-DIR-T	16tr003f				HT	179.9	9.5	2	6	100	0.0	5.8				960	942	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr003
16tr003f	16tr003f:LP-DIR-T	16tr003f				LT	345.0	51.3	2	5	0	128.5	16.1				673	273	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr003
16tr003f	16tr003f:LP-DIR-T	16tr003f				LT	14.0	15.7	2	5	100	128.5	16.1				673	273	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr003
16tr003f	16tr003f:LP-DIR-T	16tr003f				HT	174.4	-23.4	2	6	0	0.0	5.8				960	942	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr003
16tr003g	16tr003g:LP-DIR-T	16tr003g				LT	7.0	52.6	2	5	0	13.8	5.4				893	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr003
16tr003g	16tr003g:LP-DIR-T	16tr003g				HT	44.9	44.5	2	8	0	0.0	5.6				955	935	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr003
16tr003g	16tr003g:LP-DIR-T	16tr003g				LT	25.4	7.8	2	5	100	13.8	5.4				893	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr003
16tr003g	16tr003g:LP-DIR-T	16tr003g				HT	46.3	-7.6	2	8	100	0.0	5.6				955	935	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr003
16tr003h	16tr003h:LP-DIR-T	16tr003h				LT	4.6	51.8	1	4	0	1.3	13.9				673	353	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr003
16tr003h	16tr003h:LP-DIR-T	16tr003h				LT	23.6	8.0	1	4	100	1.3	13.9				673	353	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr003
16tr003i	16tr003i:LP-DIR-T	16tr003i				LT	5.7	54.2	1	3	0	6.5	16.3				773	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr003
16tr003i	16tr003i:LP-DIR-T	16tr003i				LT	25.6	9.6	1	3	100	6.5	16.3				773	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr003
16tr003k	16tr003k:LP-DIR-T	16tr003k				HT	345.0	34.9	2	9	100	0.0	6.9				955	932	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr003
16tr003k	16tr003k:LP-DIR-T	16tr003k				LT	22.3	18.9	2	5	100	20.1	5.7				853	473	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr003
16tr003k	16tr003k:LP-DIR-T	16tr003k				LT	350.4	59.3	2	5	0	20.1	5.7				853	473	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr003
