,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,TR002,,,,,,,,,,,,,,,,,,,,,
site_name,Hongzixi,,,,,,,,,,,,,,,,,,,,,
site_lat,27.9999353,(N),,,,,,,,,,,,,,,,,,,,
site_long,108.7998757,(E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0.0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
-Ba,mag compass orientation (IGRF corrected),937,230,59.0,316.9,52.2,no,nan,8.0,2016.0,5.0,24.0,1.0,1.0,1.0,nan,nan,[357.30533012327714; 43.446658182673914; 48839.870760539765],-2.69466987672,insufficient data,227.3,nan
-Ca,mag compass orientation (IGRF corrected),937.03,233,57.0,316.9,52.2,no,nan,8.0,2016.0,5.0,24.0,1.0,1.0,1.0,nan,nan,[357.30533012327714; 43.446658182673914; 48839.870760539765],-2.69466987672,insufficient data,230.3,nan
-Da,mag compass orientation (IGRF corrected),937.1,240,68.0,316.9,52.2,no,nan,8.0,2016.0,5.0,24.0,1.0,1.0,1.0,nan,nan,[357.30533012327714; 43.446658182673914; 48839.870760539765],-2.69466987672,insufficient data,237.3,nan
-Ea,mag compass orientation (IGRF corrected),937.11,237,62.0,316.9,52.2,no,nan,8.0,2016.0,5.0,24.0,1.0,1.0,1.0,nan,nan,[357.30533012327714; 43.446658182673914; 48839.870760539765],-2.69466987672,insufficient data,234.3,nan
-Fa,mag compass orientation (IGRF corrected),937.18,233,69.0,316.9,52.2,no,nan,8.0,2016.0,5.0,24.0,1.0,1.0,1.0,nan,nan,[357.30533012327714; 43.446658182673914; 48839.870760539765],-2.69466987672,insufficient data,230.3,nan
-Ga,mag compass orientation (IGRF corrected),937.27,215,70.0,316.9,52.2,no,nan,8.0,2016.0,5.0,24.0,1.0,1.0,1.0,nan,nan,[357.30533012327714; 43.446658182673914; 48839.870760539765],-2.69466987672,insufficient data,212.3,nan
-Ha,sun compass orientation,937.32,202,78.0,316.9,52.2,no,111.0,8.0,2016.0,5.0,24.0,15.0,16.0,1.0,nan,198.3,[357.30526417772427; 43.44685799757125; 48839.955700306629],-2.69473582228,-3.7,198.3,nan
-Ia,mag compass orientation (IGRF corrected),937.42,202,70.0,316.9,52.2,no,nan,8.0,2016.0,5.0,24.0,1.0,1.0,1.0,nan,nan,[357.30533012327714; 43.446658182673914; 48839.870760539765],-2.69466987672,insufficient data,199.3,nan
