tab	specimens
analysts	citations	method_codes	sample	specimen	volume	weight
	This study	LP-NOMAG	TR010-A	TR010-Aa		
	This study	LP-NOMAG	TR010-B	TR010-Ba		
	This study	LP-NOMAG	TR010-C	TR010-Ca		
	This study	LP-NOMAG	TR010-D	TR010-Da		
	This study	LP-NOMAG	TR010-E	TR010-Ea		
	This study	LP-NOMAG	TR010-F	TR010-Fa		
	This study	LP-NOMAG	TR010-G	TR010-Ga		
	This study	LP-NOMAG	TR010-H	TR010-Ha		
	This study	LP-NOMAG	TR010-I	TR010-Ia		
	This study	LP-NOMAG	TR010-J	TR010-Ja		
	This study	LP-NOMAG	TR010-K	TR010-Ka		
	This study	LP-NOMAG	TR010-L	TR010-La		
