tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
TR002-Ba	TR002-Ba:LP-DIR-T	TR002-B		MT1	181.0	-11.7	3	22	-1	11.1	13.7	923	373	K		hargrave 2017-10-03 16:13:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Hongzixi	TR002
TR002-Ba	TR002-Ba:LP-DIR-T	TR002-B		HT1	169.8	1.9	3	5	-1	8.5	6.7	947	933	K		hargrave 2017-10-03 16:13:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Hongzixi	TR002
TR002-Ba	TR002-Ba:LP-DIR-T	TR002-B		HT1_0	177.7	-1.3	3	5	-1	0.0	5.5	947	933	K		hargrave 2017-10-03 16:13:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Hongzixi	TR002
TR002-Ba	TR002-Ba:LP-DIR-T	TR002-B		MT1	318.7	47.3	3	22	0	11.1	13.7	923	373	K		hargrave 2017-10-03 16:13:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Hongzixi	TR002
TR002-Ba	TR002-Ba:LP-DIR-T	TR002-B		HT1	297.1	59.4	3	5	0	8.5	6.7	947	933	K		hargrave 2017-10-03 16:13:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Hongzixi	TR002
TR002-Ba	TR002-Ba:LP-DIR-T	TR002-B		HT1_0	313.0	57.6	3	5	0	0.0	5.5	947	933	K		hargrave 2017-10-03 16:13:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Hongzixi	TR002
TR002-Ba	TR002-Ba:LP-DIR-T	TR002-B		MT1	358.1	25.7	3	22	100	11.1	13.7	923	373	K		hargrave 2017-10-03 16:13:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Hongzixi	TR002
TR002-Ba	TR002-Ba:LP-DIR-T	TR002-B		HT1	7.0	41.6	3	5	100	8.5	6.7	947	933	K		hargrave 2017-10-03 16:13:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Hongzixi	TR002
TR002-Ba	TR002-Ba:LP-DIR-T	TR002-B		HT1_0	7.3	33.1	3	5	100	0.0	5.5	947	933	K		hargrave 2017-10-03 16:13:29	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Hongzixi	TR002
TR002-Ca	TR002-Ca:LP-DIR-T	TR002-C		MT1	198.1	3.3	3	20	-1	3.6	7.2	913	373	K		hargrave 2017-10-03 16:15:07	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Hongzixi	TR002
TR002-Ca	TR002-Ca:LP-DIR-T	TR002-C		HT1	183.9	5.4	3	4	-1	14.2	3.7	943	928	K		hargrave 2017-10-03 16:15:07	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Hongzixi	TR002
TR002-Ca	TR002-Ca:LP-DIR-T	TR002-C		HT1_0	198.2	5.3	3	4	-1	0.0	6.6	943	928	K		hargrave 2017-10-03 16:15:07	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Hongzixi	TR002
TR002-Ca	TR002-Ca:LP-DIR-T	TR002-C		MT1	353.8	55.8	3	20	0	3.6	7.2	913	373	K		hargrave 2017-10-03 16:15:07	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Hongzixi	TR002
TR002-Ca	TR002-Ca:LP-DIR-T	TR002-C		HT1	328.6	62.2	3	4	0	14.2	3.7	943	928	K		hargrave 2017-10-03 16:15:07	pmagpy-3.16.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Hongzixi	TR002
