2017-10-17 14:21:23: TR036-Da: TT  350 (Up): Red
2017-11-09 17:09:45: TR036-Ma: TT  575 (Dn): Unacceptable slop on up/down motor moving from  -36 to -44305 at speed  80000000.    Target position: -44305  Current position: -4743    Execution has been paused. Please check machine.
2017-11-09 17:10:00: TR036-Ma: TT  575 (Dn): Hargraves Magnetometer is now operating at code Blue  
2017-11-09 17:10:08: TR036-Ma: TT  575 (Dn): Homed to top but did not hit switch.
2017-11-09 17:10:11: TR036-Ma: TT  575 (Dn): Hargraves Magnetometer is now operating at code Blue  
2017-11-27 16:48:45: TR036-Da: TT  645 (Up): Red
2017-11-28 15:15:00: TR036-Da: TT  650 (Up): Red
2017-12-11 12:14:33: TR036-Aa: TT  655 (Up): Red
2017-12-11 12:19:45: TR036-Da: TT  655 (Up): Red
2017-12-12 14:03:28: TR036-Aa: TT  660 (Dn): Red
2017-12-12 14:39:18: TR036-Aa: TT  660 (Up): Red
2017-12-12 15:05:40: TR036-Aa: TT  660 (Dn): Red
2018-01-08 11:29:38: TR036-Aa: TT  665 (Up): Red
2018-01-08 11:34:57: TR036-Da: TT  665 (Up): Red
2018-01-10 14:21:30: TR036-Da: TT  670 (Up): Red
2018-01-22 14:00:56: TR036-Aa: TT  678 (Dn): Red
