,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,TR045,,,,,,,,,,,,,,,,,,,,,
site_name,Luoman2,,,,,,,,,,,,,,,,,,,,,
site_lat,27.95385281,(N),,,,,,,,,,,,,,,,,,,,
site_long,108.8206235,(E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
-Aa,mag compass orientation (IGRF corrected),11.23,14,42.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,11.3,nan
-Ba,mag compass orientation (IGRF corrected),11.25,348,31.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,345.3,nan
-Ca,mag compass orientation (IGRF corrected),11.3,7,56.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,4.3,nan
-Da,mag compass orientation (IGRF corrected),11.31,5,51.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,2.3,nan
-Ea,mag compass orientation (IGRF corrected),11.43,0,38.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,-2.7,nan
-Fa,mag compass orientation (IGRF corrected),11.46,356,44.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,353.3,nan
-Ga,mag compass orientation (IGRF corrected),11.71,5,41.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,2.3,nan
-Ha,mag compass orientation (IGRF corrected),11.81,358,79.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,355.3,nan
-Ia,mag compass orientation (IGRF corrected),11.87,6,32.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,3.3,nan
-Ja,mag compass orientation (IGRF corrected),11.91,343,42.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,340.3,nan
-Ka,mag compass orientation (IGRF corrected),10.86,346,31.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,343.3,nan
-La,mag compass orientation (IGRF corrected),10.99,343,28.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,340.3,nan
-Na,mag compass orientation (IGRF corrected),11.33,9,45.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,6.3,nan
-Pa,mag compass orientation (IGRF corrected),10.86,357,45.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,354.3,nan
-Qa,mag compass orientation (IGRF corrected),10.32,359,47.0,241.6,34.1,no,nan,8.0,2016.0,6.0,7.0,1.0,1.0,1.0,nan,nan,[357.30561764897112; 43.375484641064396; 48813.502829321471],-2.69438235103,insufficient data,356.3,nan
