tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_moment	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
TR035-AAa:LP-DIR-T1	TR035-AAa:LP-DIR-T	TR035-AAa	5.1	194.9	4.3	0	0	0.0	0.0	1	273.0	5.34e-08	This study	hargrave 2017-10-13 20:08:41	LT-NO:LP-DIR-T	g	0	u	8	273			pmagpy-3.16.0	1.3e-09	4.379999999999999e-09	1.65e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T2	TR035-AAa:LP-DIR-T	TR035-AAa	2.8	194.4	4.5	0	0	0.0	0.0	2	373.0	5.28e-08	This study	hargrave 2017-10-15 20:09:30	LT-T-Z:LP-DIR-T	g	1	u	8	273			pmagpy-3.16.0	6.35e-10	2.13e-09	1.3800000000000002e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T3	TR035-AAa:LP-DIR-T	TR035-AAa	1.8	192.9	4.4	0	0	0.0	0.0	3	473.0	5.24e-08	This study	hargrave 2017-10-16 14:15:32	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-3.16.0	6.279999999999999e-10	1.1e-09	1.2e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T4	TR035-AAa:LP-DIR-T	TR035-AAa	2.4	195.5	4.5	0	0	0.0	0.0	4	573.0	5.21e-08	This study	hargrave 2017-10-17 11:05:14	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-3.16.0	7.190000000000001e-10	1.41e-09	1.59e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T5	TR035-AAa:LP-DIR-T	TR035-AAa	1.8	193.8	4.4	0	0	0.0	0.0	5	623.0	5.18e-08	This study	hargrave 2017-10-18 09:11:58	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-3.16.0	6.72e-10	6.73e-10	1.42e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T6	TR035-AAa:LP-DIR-T	TR035-AAa	1.7	194.5	4.8	0	0	0.0	0.0	6	673.0	5.11e-08	This study	hargrave 2017-10-20 16:49:37	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-3.16.0	6.67e-10	4.59e-10	1.4e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T7	TR035-AAa:LP-DIR-T	TR035-AAa	1.8	193.4	4.8	0	0	0.0	0.0	7	723.0	5e-08	This study	hargrave 2017-10-23 11:27:09	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-3.16.0	3.52e-10	1.18e-09	1.05e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T8	TR035-AAa:LP-DIR-T	TR035-AAa	2.2	192.3	5.1	0	0	0.0	0.0	8	748.0	4.99e-08	This study	hargrave 2017-10-24 08:52:25	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-3.16.0	5.32e-10	1.36e-09	1.31e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T9	TR035-AAa:LP-DIR-T	TR035-AAa	1.8	192.7	5.2	0	0	0.0	0.0	9	773.0	4.9400000000000006e-08	This study	hargrave 2017-10-25 08:31:34	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-3.16.0	5.21e-10	5.820000000000001e-10	1.41e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T10	TR035-AAa:LP-DIR-T	TR035-AAa	1.6	193.3	5.3	0	0	0.0	0.0	10	798.0	4.91e-08	This study	hargrave 2017-10-26 18:58:53	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-3.16.0	5.21e-10	5.35e-10	1.25e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T11	TR035-AAa:LP-DIR-T	TR035-AAa	2.5	190.6	5.3	0	0	0.0	0.0	11	823.0	4.83e-08	This study	hargrave 2017-10-27 16:54:12	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-3.16.0	5.67e-10	1.66e-09	1.23e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T12	TR035-AAa:LP-DIR-T	TR035-AAa	2.9	193.2	6.3	0	0	0.0	0.0	12	828.0	4.7800000000000005e-08	This study	hargrave 2017-10-28 19:24:27	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-3.16.0	9.68e-10	1.17e-09	2e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T13	TR035-AAa:LP-DIR-T	TR035-AAa	3.0	192.6	5.5	0	0	0.0	0.0	13	833.0	4.6500000000000006e-08	This study	hargrave 2017-11-03 15:03:23	LT-T-Z:LP-DIR-T	g	12	u	8	273			pmagpy-3.16.0	5.92e-10	1.6800000000000004e-09	1.71e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T14	TR035-AAa:LP-DIR-T	TR035-AAa	6.3	191.7	5.4	0	0	0.0	0.0	14	838.0	4.59e-08	This study	hargrave 2017-11-05 13:56:20	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-3.16.0	1.16e-09	4.63e-09	1.71e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T15	TR035-AAa:LP-DIR-T	TR035-AAa	2.2	192.1	5.7	0	0	0.0	0.0	15	843.0	4.59e-08	This study	hargrave 2017-11-09 11:29:39	LT-T-Z:LP-DIR-T	g	14	u	8	273			pmagpy-3.16.0	4.42e-10	6.02e-10	1.6699999999999998e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T16	TR035-AAa:LP-DIR-T	TR035-AAa	2.9	191.8	5.8	0	0	0.0	0.0	16	848.0	4.58e-08	This study	hargrave 2017-11-09 20:20:29	LT-T-Z:LP-DIR-T	g	15	u	8	273			pmagpy-3.16.0	6.1e-10	7.969999999999999e-10	2.19e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T17	TR035-AAa:LP-DIR-T	TR035-AAa	2.4	191.6	5.6	0	0	0.0	0.0	17	853.0	4.51e-08	This study	hargrave 2017-11-14 16:06:46	LT-T-Z:LP-DIR-T	g	16	u	8	273			pmagpy-3.16.0	4.53e-10	7.81e-10	1.6800000000000004e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T18	TR035-AAa:LP-DIR-T	TR035-AAa	2.1	189.5	6.2	0	0	0.0	0.0	18	873.0	4.5700000000000006e-08	This study	hargrave 2017-11-17 15:19:42	LT-T-Z:LP-DIR-T	g	17	u	8	273			pmagpy-3.16.0	5.09e-10	1.1e-09	1.29e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T19	TR035-AAa:LP-DIR-T	TR035-AAa	3.5	193.5	6.0	0	0	0.0	0.0	19	893.0	4.38e-08	This study	hargrave 2017-11-19 14:37:35	LT-T-Z:LP-DIR-T	g	18	u	8	273			pmagpy-3.16.0	6.68e-10	2.52e-09	8.43e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T20	TR035-AAa:LP-DIR-T	TR035-AAa	1.8	192.8	6.3	0	0	0.0	0.0	20	903.0	4.26e-08	This study	hargrave 2017-11-21 13:50:29	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-3.16.0	4.68e-10	1.02e-09	7.45e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T21	TR035-AAa:LP-DIR-T	TR035-AAa	1.8	190.7	5.7	0	0	0.0	0.0	21	913.0	4.12e-08	This study	hargrave 2017-11-27 13:07:49	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-3.16.0	5.42e-10	5.97e-10	1.06e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T22	TR035-AAa:LP-DIR-T	TR035-AAa	4.4	194.8	6.6	0	0	0.0	0.0	22	918.0	4.09e-08	This study	hargrave 2017-11-28 12:02:41	LT-T-Z:LP-DIR-T	g	21	u	8	273			pmagpy-3.16.0	1.07e-09	2.87e-09	8.14e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T23	TR035-AAa:LP-DIR-T	TR035-AAa	2.0	195.7	6.9	0	0	0.0	0.0	23	923.0	4.12e-08	This study	hargrave 2017-12-08 17:45:55	LT-T-Z:LP-DIR-T	g	22	u	8	273			pmagpy-3.16.0	6.21e-10	1.25e-09	5.16e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T24	TR035-AAa:LP-DIR-T	TR035-AAa	1.4	189.8	7.8	0	0	0.0	0.0	24	928.0	3.91e-08	This study	hargrave 2017-12-11 18:28:46	LT-T-Z:LP-DIR-T	g	23	u	8	273			pmagpy-3.16.0	5.800000000000001e-10	8.939999999999998e-10	2.7000000000000005e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T25	TR035-AAa:LP-DIR-T	TR035-AAa	1.4	195.1	7.2	0	0	0.0	0.0	25	933.0	4.11e-08	This study	hargrave 2017-12-12 19:06:36	LT-T-Z:LP-DIR-T	g	24	u	8	273			pmagpy-3.16.0	4.45e-10	9.43e-10	2.99e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T26	TR035-AAa:LP-DIR-T	TR035-AAa	2.9	198.0	6.4	0	0	0.0	0.0	26	938.0	3.94e-08	This study	hargrave 2018-01-08 17:43:05	LT-T-Z:LP-DIR-T	g	25	u	8	273			pmagpy-3.16.0	1.01e-09	1.7399999999999996e-09	6.34e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T27	TR035-AAa:LP-DIR-T	TR035-AAa	1.6	191.5	7.0	0	0	0.0	0.0	27	943.0	3.96e-08	This study	hargrave 2018-01-11 09:47:37	LT-T-Z:LP-DIR-T	g	26	u	8	273			pmagpy-3.16.0	6.8e-10	8.73e-10	5.95e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T28	TR035-AAa:LP-DIR-T	TR035-AAa	2.0	191.2	5.9	0	0	0.0	0.0	28	945.0	3.8e-08	This study	hargrave 2018-01-12 09:43:29	LT-T-Z:LP-DIR-T	g	27	u	8	273			pmagpy-3.16.0	1.05e-09	1.0300000000000002e-09	5.85e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T29	TR035-AAa:LP-DIR-T	TR035-AAa	1.3	187.3	6.4	0	0	0.0	0.0	29	947.0	3.89e-08	This study	hargrave 2018-01-16 16:52:11	LT-T-Z:LP-DIR-T	g	28	u	8	273			pmagpy-3.16.0	8.29e-10	6.819999999999999e-10	5.69e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T30	TR035-AAa:LP-DIR-T	TR035-AAa	2.4	186.7	4.1	0	0	0.0	0.0	30	949.0	3.48e-08	This study	hargrave 2018-01-17 16:50:40	LT-T-Z:LP-DIR-T	g	29	u	8	273			pmagpy-3.16.0	9.43e-10	1.31e-09	5.12e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T31	TR035-AAa:LP-DIR-T	TR035-AAa	4.2	191.2	6.1	0	0	0.0	0.0	31	951.0	3.47e-08	This study	hargrave 2018-01-24 13:44:59	LT-T-Z:LP-DIR-T	g	30	u	8	273			pmagpy-3.16.0	7.689999999999999e-10	2.44e-09	6.5e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T32	TR035-AAa:LP-DIR-T	TR035-AAa	5.0	183.1	6.1	0	0	0.0	0.0	32	953.0	3.0499999999999995e-08	This study	hargrave 2018-01-27 10:25:50	LT-T-Z:LP-DIR-T	g	31	u	8	273			pmagpy-3.16.0	1.16e-09	2.5600000000000003e-09	5.72e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T33	TR035-AAa:LP-DIR-T	TR035-AAa	2.1	202.0	5.6	0	0	0.0	0.0	33	955.0	3.25e-08	This study	hargrave 2018-01-31 18:05:01	LT-T-Z:LP-DIR-T	g	32	u	8	273			pmagpy-3.16.0	9.08e-10	9.44e-10	6.39e-10	TR035-AA	TR035	Luoman2
