tab	sites
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon	dir_n_specimens
TR018	Quick_River	TR018-A:TR018-B:TR018-C:TR018-D:TR018-E:TR018-F:TR018-G:TR018-H:TR018-I:TR018-J:TR018-K:TR018-N	TR018-Aa:TR018-Ba:TR018-Ca:TR018-Da:TR018-Ea:TR018-Fa:TR018-Ga:TR018-Ha:TR018-Ia:TR018-Ja:TR018-Ka:TR018-Na	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   16.8 	HT1	  162.2 	  -43.3 	     8 	12	7 	5 	r	10.9012 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFP:LP-DC4:DE-FM-LP	g	i	   20.9 	   13.0 	  -73.9 	  193.4 	12 
TR018	Quick_River	TR018-A:TR018-B:TR018-C:TR018-D:TR018-E:TR018-F:TR018-G:TR018-H:TR018-I:TR018-J:TR018-K:TR018-L:TR018-M:TR018-N:TR018-P:TR018-Q	TR018-Aa:TR018-Ba:TR018-Ca:TR018-Da:TR018-Ea:TR018-Fa:TR018-Ga:TR018-Ha:TR018-Ia:TR018-Ja:TR018-Ka:TR018-La:TR018-Ma:TR018-Na:TR018-Pa:TR018-Qa	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    3.2 	LT1	   12.2 	   50.6 	   138 	16	16 	0 	n	15.8909 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    4.3 	    2.9 	   78.9 	  177.9 	16 
TR018	Quick_River	TR018-A:TR018-B:TR018-C:TR018-D:TR018-E:TR018-F:TR018-G:TR018-H:TR018-I:TR018-J:TR018-K:TR018-N	TR018-Aa:TR018-Ba:TR018-Ca:TR018-Da:TR018-Ea:TR018-Fa:TR018-Ga:TR018-Ha:TR018-Ia:TR018-Ja:TR018-Ka:TR018-Na	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   16.8 	HT1	  210.1 	  -65.9 	     8 	12	7 	5 	r	10.9010 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFP:LP-DC4:DE-FM-LP:DA-DIR-GEO	g	i	   27.4 	   22.4 	  -59.2 	  329.5 	12 
TR018	Quick_River	TR018-A:TR018-B:TR018-C:TR018-D:TR018-E:TR018-F:TR018-G:TR018-H:TR018-I:TR018-J:TR018-K:TR018-L:TR018-M:TR018-N:TR018-P:TR018-Q	TR018-Aa:TR018-Ba:TR018-Ca:TR018-Da:TR018-Ea:TR018-Fa:TR018-Ga:TR018-Ha:TR018-Ia:TR018-Ja:TR018-Ka:TR018-La:TR018-Ma:TR018-Na:TR018-Pa:TR018-Qa	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    3.2 	LT1	   62.2 	   51.6 	   138 	16	16 	0 	n	15.8913 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    4.4 	    3.0 	   36.7 	  177.8 	16 
TR020	Quick_River	TR020-A:TR020-B:TR020-C:TR020-D:TR020-E:TR020-F:TR020-G:TR020-H:TR020-I:TR020-J	TR020-Aa:TR020-Ba:TR020-Ca:TR020-Da:TR020-Ea:TR020-Fa:TR020-Ga:TR020-Ha:TR020-Ia:TR020-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   11.2 	HT1	  142.0 	  -70.9 	    20 	10	9 	1 	r	9.5665 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFP:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM-LP	g	i	   19.5 	   17.0 	  -51.4 	  254.6 	10 
TR020	Quick_River	TR020-A:TR020-B:TR020-C:TR020-D:TR020-E:TR020-F:TR020-G:TR020-H:TR020-I:TR020-J	TR020-Aa:TR020-Ba:TR020-Ca:TR020-Da:TR020-Ea:TR020-Fa:TR020-Ga:TR020-Ha:TR020-Ia:TR020-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    6.1 	LT1	    5.7 	   52.6 	    64 	10	10 	0 	n	9.8599 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    8.4 	    5.8 	   82.8 	  150.3 	10 
TR020	Quick_River	TR020-A:TR020-B:TR020-C:TR020-D:TR020-E:TR020-F:TR020-G:TR020-H:TR020-I:TR020-J	TR020-Aa:TR020-Ba:TR020-Ca:TR020-Da:TR020-Ea:TR020-Fa:TR020-Ga:TR020-Ha:TR020-Ia:TR020-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   11.2 	HT1	  111.1 	  -76.9 	    20 	10	9 	1 	t	9.5660 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFP:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM-LP:DA-DIR-GEO	g	i	   20.9 	   19.4 	  -34.0 	  260.5 	10 
TR020	Quick_River	TR020-A:TR020-B:TR020-C:TR020-D:TR020-E:TR020-F:TR020-G:TR020-H:TR020-I:TR020-J	TR020-Aa:TR020-Ba:TR020-Ca:TR020-Da:TR020-Ea:TR020-Fa:TR020-Ga:TR020-Ha:TR020-Ia:TR020-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    6.1 	LT1	    6.5 	   63.1 	    64 	10	10 	0 	n	9.8595 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    9.6 	    7.6 	   72.5 	  124.4 	10 
TR022	Quick_River	TR022-A:TR022-B:TR022-C:TR022-D:TR022-E:TR022-F:TR022-G:TR022-H	TR022-Aa:TR022-Ba:TR022-Ca:TR022-Da:TR022-Ea:TR022-Fa:TR022-Ga:TR022-Ha	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   44.7 	HT1	  163.8 	  -54.8 	     2 	8	8 	0 	r	5.1862 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   63.3 	   44.8 	  -74.4 	  231.2 	8 
TR022	Quick_River	TR022-A:TR022-B:TR022-C:TR022-D:TR022-E:TR022-F:TR022-G:TR022-H:TR022-I:TR022-J	TR022-Aa:TR022-Ba:TR022-Ca:TR022-Da:TR022-Ea:TR022-Fa:TR022-Ga:TR022-Ha:TR022-Ia:TR022-Ja	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    4.6 	LT1	    5.8 	   49.3 	   113 	10	10 	0 	n	9.9203 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    6.1 	    4.0 	   84.4 	  173.3 	10 
