tab	specimens
specimen	experiments	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
TR018-Aa	TR018-Aa:LP-DIR-T	TR018-A				LT	221.3	33.5	2	5	-1	108.3	8.3	673	373	K		hargrave 2018-02-14 11:55:00	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Aa	TR018-Aa:LP-DIR-T	TR018-A				HT	34.0	8.4	2	7	-1	0.0	8.5	945	918	K		hargrave 2018-02-14 11:55:00	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR018
TR018-Aa	TR018-Aa:LP-DIR-T	TR018-A				LT	29.9	56.1	2	5	0	108.3	8.3	673	373	K		hargrave 2018-02-14 11:55:00	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Aa	TR018-Aa:LP-DIR-T	TR018-A				HT	153.4	-36.1	2	7	0	0.0	8.5	945	918	K		hargrave 2018-02-14 11:55:00	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR018
TR018-Aa	TR018-Aa:LP-DIR-T	TR018-A				LT	77.1	45.0	2	5	100	108.3	8.3	673	373	K		hargrave 2018-02-14 11:55:00	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Aa	TR018-Aa:LP-DIR-T	TR018-A				HT	185.7	-66.1	2	7	100	0.0	8.5	945	918	K		hargrave 2018-02-14 11:55:00	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ba	TR018-Ba:LP-DIR-T	TR018-B				LT	55.4	53.7	2	3	100	127.0	2.4	573	373	K		hargrave 2018-02-14 16:25:09	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ba	TR018-Ba:LP-DIR-T	TR018-B				LT	6.3	48.0	2	3	0	127.0	2.4	573	373	K		hargrave 2018-02-14 16:25:09	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ba	TR018-Ba:LP-DIR-T	TR018-B				HT	104.9	-73.0	2	14	100	0.0	3.2	945	843	K		hargrave 2018-02-14 16:25:09	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ba	TR018-Ba:LP-DIR-T	TR018-B				LT	221.6	11.0	2	3	-1	127.0	2.4	573	373	K		hargrave 2018-02-14 16:25:09	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Ba	TR018-Ba:LP-DIR-T	TR018-B				HT	9.8	26.8	2	14	-1	0.0	3.2	945	843	K		hargrave 2018-02-14 16:25:09	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR018
TR018-Ba	TR018-Ba:LP-DIR-T	TR018-B				HT	120.2	-36.4	2	14	0	0.0	3.2	945	843	K		hargrave 2018-02-14 16:25:09	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ca	TR018-Ca:LP-DIR-T	TR018-C				LT	220.5	23.3	2	6	-1	132.5	16.2	673	273	K		hargrave 2018-02-14 16:26:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Ca	TR018-Ca:LP-DIR-T	TR018-C				HT	4.7	-11.2	2	8	-1	0.0	6.8	945	913	K		hargrave 2018-02-14 16:26:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR018
TR018-Ca	TR018-Ca:LP-DIR-T	TR018-C				LT	15.2	50.3	2	6	0	132.5	16.2	673	273	K		hargrave 2018-02-14 16:26:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ca	TR018-Ca:LP-DIR-T	TR018-C				HT	153.9	-85.0	2	8	0	0.0	6.8	945	913	K		hargrave 2018-02-14 16:26:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ca	TR018-Ca:LP-DIR-T	TR018-C				LT	63.2	49.8	2	6	100	132.5	16.2	673	273	K		hargrave 2018-02-14 16:26:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ca	TR018-Ca:LP-DIR-T	TR018-C				HT	304.6	-56.7	2	8	100	0.0	6.8	945	913	K		hargrave 2018-02-14 16:26:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR018
TR018-Da	TR018-Da:LP-DIR-T	TR018-D				LT	60.1	50.2	2	6	100	138.9	9.6	723	373	K		hargrave 2018-02-14 11:59:36	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Da	TR018-Da:LP-DIR-T	TR018-D				HT	230.8	-76.1	2	11	100	0.0	8.9	949	903	K		hargrave 2018-02-14 11:59:36	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR018
TR018-Da	TR018-Da:LP-DIR-T	TR018-D				HT	151.4	-53.1	2	11	0	0.0	8.9	949	903	K		hargrave 2018-02-14 11:59:36	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR018
TR018-Da	TR018-Da:LP-DIR-T	TR018-D				HT	21.3	3.7	2	11	-1	0.0	8.9	949	903	K		hargrave 2018-02-14 11:59:36	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR018
TR018-Da	TR018-Da:LP-DIR-T	TR018-D				LT	221.6	13.1	2	6	-1	138.9	9.6	723	373	K		hargrave 2018-02-14 11:59:36	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Da	TR018-Da:LP-DIR-T	TR018-D				LT	13.1	48.7	2	6	0	138.9	9.6	723	373	K		hargrave 2018-02-14 11:59:36	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ea	TR018-Ea:LP-DIR-T	TR018-E				LT	223.3	19.5	2	5	-1	80.8	10.2	673	373	K		hargrave 2018-02-14 12:01:12	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Ea	TR018-Ea:LP-DIR-T	TR018-E		43.9	-10.2	HT	113.1	63.2	2	15	-1		6.2	913	723	K		hargrave 2018-02-14 12:01:12	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR	g			Quick_River	TR018
TR018-Ea	TR018-Ea:LP-DIR-T	TR018-E				LT	17.7	49.6	2	5	0	80.8	10.2	673	373	K		hargrave 2018-02-14 12:01:12	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ea	TR018-Ea:LP-DIR-T	TR018-E		168.5	-51.0	HT	142.2	36.0	2	15	0		6.2	913	723	K		hargrave 2018-02-14 12:01:12	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ea	TR018-Ea:LP-DIR-T	TR018-E				LT	63.6	48.0	2	5	100	80.8	10.2	673	373	K		hargrave 2018-02-14 12:01:12	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ea	TR018-Ea:LP-DIR-T	TR018-E		231.5	-65.5	HT	139.5	-0.9	2	15	100		6.2	913	723	K		hargrave 2018-02-14 12:01:12	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-TILT	g			Quick_River	TR018
TR018-Fa	TR018-Fa:LP-DIR-T	TR018-F				LT	216.6	25.7	2	9	-1	21.3	3.0	823	473	K		hargrave 2018-02-14 12:02:49	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Fa	TR018-Fa:LP-DIR-T	TR018-F		57.7	-19.6	HT	153.8	-16.7	2	9	-1		15.8	903	828	K		hargrave 2018-02-14 12:02:49	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR	g			Quick_River	TR018
TR018-Fa	TR018-Fa:LP-DIR-T	TR018-F				LT	16.0	55.9	2	9	0	21.3	3.0	823	473	K		hargrave 2018-02-14 12:02:49	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Fa	TR018-Fa:LP-DIR-T	TR018-F		176.4	-29.0	HT	232.5	45.2	2	9	0		15.8	903	828	K		hargrave 2018-02-14 12:02:49	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-GEO	g			Quick_River	TR018
TR018-Fa	TR018-Fa:LP-DIR-T	TR018-F				LT	71.5	51.9	2	9	100	21.3	3.0	823	473	K		hargrave 2018-02-14 12:02:49	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Fa	TR018-Fa:LP-DIR-T	TR018-F		204.0	-47.9	HT	14.9	-41.7	2	9	100		15.8	903	828	K		hargrave 2018-02-14 12:02:49	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ga	TR018-Ga:LP-DIR-T	TR018-G				LT	64.4	52.4	2	6	100	28.0	3.0	723	373	K		hargrave 2018-02-14 12:04:25	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ga	TR018-Ga:LP-DIR-T	TR018-G		248.1	-72.4	HT	347.6	-3.0	2	8	100		10.6	873	823	K		hargrave 2018-02-14 12:04:25	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ga	TR018-Ga:LP-DIR-T	TR018-G		158.0	-57.7	HT	175.8	31.0	2	8	0		10.6	873	823	K		hargrave 2018-02-14 12:04:25	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-GEO	g			Quick_River	TR018
