tab	measurements
experiment	specimen	measurement	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T0	    1.8	241.3	-33.7 	0	0	0.00	0.00	0	273	This study	hargrave 2018-05-11 14:40:40	LT-NO:LP-DIR-T	g	0	u	8	273			pmagpy-4.2.4	5.09e-08	1.13e-09	1.05e-09	7.90e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T1	    1.3	242.8	-35.1 	0	0	0.00	0.00	1	  373.0	This study	hargrave 2018-05-14 13:24:27	LT-T-Z:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.4	5.17e-08	7.41e-10	9.22e-10	5.64e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T2	    1.4	241.8	-35.6 	0	0	0.00	0.00	2	  473.0	This study	hargrave 2018-05-15 11:19:57	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.4	5.21e-08	8.18e-10	1.03e-09	5.16e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T3	    1.2	242.4	-36.4 	0	0	0.00	0.00	3	  573.0	This study	hargrave 2018-05-16 09:55:21	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.4	5.26e-08	4.21e-10	1.08e-09	5.58e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T4	    1.3	241.3	-36.8 	0	0	0.00	0.00	4	  623.0	This study	hargrave 2018-05-16 17:42:37	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.4	5.29e-08	6.19e-10	1.12e-09	5.84e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T5	    1.2	242.6	-37.3 	0	0	0.00	0.00	5	  673.0	This study	hargrave 2018-05-18 10:47:40	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.4	5.29e-08	4.75e-10	1.13e-09	5.30e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T6	    1.3	244.2	-37.9 	0	0	0.00	0.00	6	  723.0	This study	hargrave 2018-05-18 17:05:32	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.4	5.31e-08	5.23e-10	1.13e-09	5.81e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T7	    1.4	242.3	-38.3 	0	0	0.00	0.00	7	  748.0	This study	hargrave 2018-05-21 15:16:38	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.4	5.29e-08	5.04e-10	1.17e-09	5.91e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T8	    1.1	243.5	-38.2 	0	0	0.00	0.00	8	  773.0	This study	hargrave 2018-07-31 10:02:17	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.4	5.26e-08	3.93e-10	9.57e-10	5.58e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T9	    1.1	243.9	-38.3 	0	0	0.00	0.00	9	  798.0	This study	hargrave 2018-07-31 16:43:38	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.4	5.26e-08	4.26e-10	1.01e-09	4.75e-10
