tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	sequence	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-05-11 18:13:45	LT-NO:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T0	1.9	281.6	None	g	58.4	1.53e-08	0.0	8.0	3.5000000000000003e-10	3.13e-10	2.62e-10	u	273.0	0.0	0.0	0.0	0.0	0.0	273.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-05-14 16:29:43	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T1	1.9	284.8	None	g	57.4	1.48e-08	1.0	8.0	3.5299999999999997e-10	2.8e-10	2.6100000000000003e-10	u	273.0	1.0	0.0	0.0	0.0	0.0	373.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-05-15 16:47:31	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T2	2.1	290.1	None	g	53.7	1.38e-08	2.0	8.0	3.46e-10	2.9499999999999996e-10	2.3199999999999997e-10	u	273.0	2.0	0.0	0.0	0.0	0.0	473.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-05-16 14:02:16	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T3	2.0	293.6	None	g	51.4	1.32e-08	3.0	8.0	3.2000000000000003e-10	2.4799999999999997e-10	2.35e-10	u	273.0	3.0	0.0	0.0	0.0	0.0	573.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-05-17 15:40:34	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T4	2.0	293.5	None	g	50.4	1.3e-08	4.0	8.0	3.34e-10	2.4e-10	2.3e-10	u	273.0	4.0	0.0	0.0	0.0	0.0	623.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-05-18 14:00:16	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T5	1.8	294.6	None	g	48.8	1.25e-08	5.0	8.0	2.41e-10	2.74e-10	1.8000000000000002e-10	u	273.0	5.0	0.0	0.0	0.0	0.0	673.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-05-21 11:00:20	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T6	2.0	296.7	None	g	47.3	1.2099999999999999e-08	6.0	8.0	3.17e-10	2.19e-10	1.76e-10	u	273.0	6.0	0.0	0.0	0.0	0.0	723.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-07-30 17:00:04	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T7	1.8	297.4	None	g	46.1	1.18e-08	7.0	8.0	2.9000000000000003e-10	1.8100000000000002e-10	1.56e-10	u	273.0	7.0	0.0	0.0	0.0	0.0	748.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-07-31 13:24:31	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T8	2.9	299.6	None	g	47.0	1.18e-08	8.0	8.0	5.249999999999999e-10	1.8599999999999998e-10	5.1e-10	u	273.0	8.0	0.0	0.0	0.0	0.0	773.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-01 11:28:20	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T9	2.1	300.0	None	g	40.2	1.07e-08	9.0	8.0	3.4099999999999996e-10	1.9800000000000001e-10	3.25e-10	u	273.0	9.0	0.0	0.0	0.0	0.0	798.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-01 18:23:18	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T10	2.6	303.1	None	g	42.2	1.1100000000000002e-08	10.0	8.0	4.200000000000001e-10	2.02e-10	3.9300000000000004e-10	u	273.0	10.0	0.0	0.0	0.0	0.0	823.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-01 19:45:52	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T11	2.1	302.6	None	g	41.0	1.09e-08	11.0	8.0	3.8899999999999995e-10	1.88e-10	1.18e-10	u	273.0	11.0	0.0	0.0	0.0	0.0	823.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-03 11:44:39	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T12	2.0	303.6	None	g	36.3	1e-08	12.0	8.0	2.72e-10	1.78e-10	3.28e-10	u	273.0	12.0	0.0	0.0	0.0	0.0	828.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-03 18:41:04	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T13	1.9	302.6	None	g	38.3	1.04e-08	13.0	8.0	2.83e-10	1.66e-10	1.35e-10	u	273.0	13.0	0.0	0.0	0.0	0.0	833.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-13 16:57:27	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T14	2.7	304.6	None	g	37.4	1.04e-08	14.0	8.0	4.06e-10	2.34e-10	1.88e-10	u	273.0	14.0	0.0	0.0	0.0	0.0	838.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-14 13:50:26	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T15	2.2	303.3	None	g	36.4	1.04e-08	15.0	8.0	3.07e-10	2.55e-10	1.6000000000000002e-10	u	273.0	15.0	0.0	0.0	0.0	0.0	843.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-15 10:14:04	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T16	2.5	304.1	None	g	36.2	1.02e-08	16.0	8.0	3.77e-10	2.2700000000000002e-10	1.89e-10	u	273.0	16.0	0.0	0.0	0.0	0.0	848.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-15 17:19:38	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T17	3.6	304.9	None	g	35.1	1.01e-08	17.0	8.0	5.5e-10	3.17e-10	1.67e-10	u	273.0	17.0	0.0	0.0	0.0	0.0	853.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-16 13:36:41	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T18	2.5	305.5	None	g	34.7	9.92e-09	18.0	8.0	3.59e-10	2.7000000000000005e-10	1.64e-10	u	273.0	18.0	0.0	0.0	0.0	0.0	873.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-17 11:51:12	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T19	2.9	305.3	None	g	34.0	9.8e-09	19.0	8.0	4.1599999999999996e-10	2.4899999999999997e-10	1.8399999999999998e-10	u	273.0	19.0	0.0	0.0	0.0	0.0	893.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-08-28 13:30:37	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T20	1.9	307.3	None	g	32.9	9.83e-09	20.0	8.0	2.55e-10	2.46e-10	1.32e-10	u	273.0	20.0	0.0	0.0	0.0	0.0	903.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-09-10 12:03:18	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T21	2.1	308.6	None	g	31.6	9.620000000000001e-09	21.0	8.0	1.9099999999999999e-10	1.97e-10	2.56e-10	u	273.0	21.0	0.0	0.0	0.0	0.0	913.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-09-11 14:00:32	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T22	2.6	309.1	None	g	31.6	9.28e-09	22.0	8.0	2.3199999999999997e-10	2e-10	3.2599999999999996e-10	u	273.0	22.0	0.0	0.0	0.0	0.0	918.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-09-12 14:00:34	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T23	3.2	307.8	None	g	29.9	9.32e-09	23.0	8.0	3.71e-10	1.76e-10	3.67e-10	u	273.0	23.0	0.0	0.0	0.0	0.0	923.0
