tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
TR038-Aa:LP-DIR-T0	TR038-Aa:LP-DIR-T	TR038-Aa	1.9	281.6	58.4	0.0	0.0	0.0	0.0	0.0	273.0	This study	hargrave 2018-05-11 18:13:45	LT-NO:LP-DIR-T	g	0.0	u	8.0	273.0			pmagpy-4.2.4	1.53e-08	3.5000000000000003e-10	3.13e-10	2.62e-10	TR038-A	TR038	Luoman3
TR038-Aa:LP-DIR-T1	TR038-Aa:LP-DIR-T	TR038-Aa	1.9	284.8	57.4	0.0	0.0	0.0	0.0	1.0	373.0	This study	hargrave 2018-05-14 16:29:43	LT-T-Z:LP-DIR-T	g	1.0	u	8.0	273.0			pmagpy-4.2.4	1.48e-08	3.5299999999999997e-10	2.8e-10	2.6100000000000003e-10	TR038-A	TR038	Luoman3
TR038-Aa:LP-DIR-T2	TR038-Aa:LP-DIR-T	TR038-Aa	2.1	290.1	53.7	0.0	0.0	0.0	0.0	2.0	473.0	This study	hargrave 2018-05-15 16:47:31	LT-T-Z:LP-DIR-T	g	2.0	u	8.0	273.0			pmagpy-4.2.4	1.38e-08	3.46e-10	2.9499999999999996e-10	2.3199999999999997e-10	TR038-A	TR038	Luoman3
TR038-Aa:LP-DIR-T3	TR038-Aa:LP-DIR-T	TR038-Aa	2.0	293.6	51.4	0.0	0.0	0.0	0.0	3.0	573.0	This study	hargrave 2018-05-16 14:02:16	LT-T-Z:LP-DIR-T	g	3.0	u	8.0	273.0			pmagpy-4.2.4	1.32e-08	3.2000000000000003e-10	2.4799999999999997e-10	2.35e-10	TR038-A	TR038	Luoman3
TR038-Aa:LP-DIR-T4	TR038-Aa:LP-DIR-T	TR038-Aa	2.0	293.5	50.4	0.0	0.0	0.0	0.0	4.0	623.0	This study	hargrave 2018-05-17 15:40:34	LT-T-Z:LP-DIR-T	g	4.0	u	8.0	273.0			pmagpy-4.2.4	1.3e-08	3.34e-10	2.4e-10	2.3e-10	TR038-A	TR038	Luoman3
TR038-Aa:LP-DIR-T5	TR038-Aa:LP-DIR-T	TR038-Aa	1.8	294.6	48.8	0.0	0.0	0.0	0.0	5.0	673.0	This study	hargrave 2018-05-18 14:00:16	LT-T-Z:LP-DIR-T	g	5.0	u	8.0	273.0			pmagpy-4.2.4	1.25e-08	2.41e-10	2.74e-10	1.8000000000000002e-10	TR038-A	TR038	Luoman3
TR038-Aa:LP-DIR-T6	TR038-Aa:LP-DIR-T	TR038-Aa	2.0	296.7	47.3	0.0	0.0	0.0	0.0	6.0	723.0	This study	hargrave 2018-05-21 11:00:20	LT-T-Z:LP-DIR-T	g	6.0	u	8.0	273.0			pmagpy-4.2.4	1.2099999999999999e-08	3.17e-10	2.19e-10	1.76e-10	TR038-A	TR038	Luoman3
TR038-Aa:LP-DIR-T7	TR038-Aa:LP-DIR-T	TR038-Aa	1.8	297.4	46.1	0.0	0.0	0.0	0.0	7.0	748.0	This study	hargrave 2018-07-30 17:00:04	LT-T-Z:LP-DIR-T	g	7.0	u	8.0	273.0			pmagpy-4.2.4	1.18e-08	2.9000000000000003e-10	1.8100000000000002e-10	1.56e-10	TR038-A	TR038	Luoman3
TR038-Aa:LP-DIR-T8	TR038-Aa:LP-DIR-T	TR038-Aa	2.9	299.6	47.0	0.0	0.0	0.0	0.0	8.0	773.0	This study	hargrave 2018-07-31 13:24:31	LT-T-Z:LP-DIR-T	g	8.0	u	8.0	273.0			pmagpy-4.2.4	1.18e-08	5.249999999999999e-10	1.8599999999999998e-10	5.1e-10	TR038-A	TR038	Luoman3
TR038-Aa:LP-DIR-T9	TR038-Aa:LP-DIR-T	TR038-Aa	2.1	300.0	40.2	0.0	0.0	0.0	0.0	9.0	798.0	This study	hargrave 2018-08-01 11:28:20	LT-T-Z:LP-DIR-T	g	9.0	u	8.0	273.0			pmagpy-4.2.4	1.07e-08	3.4099999999999996e-10	1.9800000000000001e-10	3.25e-10	TR038-A	TR038	Luoman3
