Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,
Jinzhanpin,9/6/16,27.87353272,108.6227893,27.85741742,108.6014819,WGS84,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOUR,FEATURES,HASH,,ASH,ASH_HEIGHT,,DZ,DZ_HEIGHT,,PM_SITE,PM_SAMPLE,PM_HEIGHT
48.2,sill,sill,sill,,2 1,,,,,,,,16TR047,A,194.62
14.1,cover,cover,cover,,2 2,,,,,,,,16TR047,B,194.64
58.1,si,vfss,green,,2 3,,,,,,,,16TR047,C,194.77
85.5,sill,sill,sill,,2 4,,,,,,,,16TR047,D,194.79
0.5,si,vfss,green,,,,,,,,,,16TR047,E,197.59
52.1,sill,sill,sill,,2 5,,,,,,,,16TR047,F,199.09
97.8,sill,sill,sill,,2 6,,,,,,,,16TR047,G,201.04
7.3,si,sts,green,,2 7,,,,,,,,16TR047,H,200.89
6,cover,cover,cover,,,,,,,,,,16TR047,I,201.64
1.2,si,sts,green,,,,,,,,,,16TR047,J,201.74
7.5,cover,cover,cover,,,,,,,,,,16TR047,K,201.9
24.4,sill,sill,sill,,2 8 minus 14.7,,,,,,,,16TR047,L,201.93
55.9,cover,cover,cover,,2 9,,,,,,,,16TR047,M,201.71
3,si,vfss,green,,,,,,,,,,16TR047,N,201.49
25.2,cover,cover,cover,,2 10 corrected for stick measurement,,,,,,,,16TR047,P,201.77
38.7,sill,sill,sill,,1 1 corrected for stick measurement,,,,,,,,16TR047,Q,201.31
26.8,si,vfss,grey,,1 2,,,,,,,,16TR047,R,201.41
1.3,si,vfss,grey,,,,,,,,,,16TR047,S,202.03
1,si,pcg,swatch,,,,,,,,,,16TR047,T,202.32
15.8,si,vfss,grey,,1 3,,,,,,,,16TR047,U,202.52
0.2,dl,ri,orange,,,,,,,,,,16TR047,V,202.53
83.8,si,vfss,green,,1 4,,,,,,,,16TR047,W,202.42
25.3,si,vfss,purple,,1 5,,,,,,,,16TR047,X,202.43
25.9,si,vfss,green,,1 6,,,,,,,,16TR047,Y,202.49
80.6,cover,cover,cover,,1 7,,,,,,,,16TR047,Z,202.64
43.9,si,vfss,purple,,1 8,,,,,,,,16TR047,AA,202.8
44.4,cover,cover,cover,,1 9,,,,,,,,16TR047,BB,202.57
16.3,si,vfss,purple,,1 10,,,,,,,,16TR048,A,205.81
23.4,cover,cover,cover,,1 11,,,,,,,,16TR048,B,205.8
237.2,si,vfss,purple,,1 12,,,,,,,,16TR048,C,205.81
105.7,si,vfss,green,,1 13,,,,,,,,16TR048,D,205.84
,,,,,,,,,,,,,16TR048,E,205.82
,,,,,,,,,,,,,16TR048,F,205.8
,,,,,,,,,,,,,16TR048,G,205.74
,,,,,,,,,,,,,16TR048,H,205.74
,,,,,,,,,,,,,16TR049,A,207.71
,,,,,,,,,,,,,16TR049,B,207.89
,,,,,,,,,,,,,16TR049,C,208.08
,,,,,,,,,,,,,16TR049,D,208.28
,,,,,,,,,,,,,16TR049,E,208.94
,,,,,,,,,,,,,16TR049,F,208.94
,,,,,,,,,,,,,16TR049,G,208.97
,,,,,,,,,,,,,16TR049,H,208.97
,,,,,,,,,,,,,16TR050,A,210.69
,,,,,,,,,,,,,16TR050,B,211.04
,,,,,,,,,,,,,16TR050,C,210.83
,,,,,,,,,,,,,16TR050,D,210.86
,,,,,,,,,,,,,16TR050,E,210.97
,,,,,,,,,,,,,16TR050,F,211.57
,,,,,,,,,,,,,16TR050,G,211.62
,,,,,,,,,,,,,16TR050,H,211.92
,,,,,,,,,,,,,16TR050,I,212
,,,,,,,,,,,,,16TR050,J,212.45
,,,,,,,,,,,,,16TR050,K,212.43
,,,,,,,,,,,,,16TR050,L,212.72
,,,,,,,,,,,,,16TR051,A,213.61
,,,,,,,,,,,,,16TR051,B,213.7
,,,,,,,,,,,,,16TR051,C,213.38
,,,,,,,,,,,,,16TR051,D,213.46
,,,,,,,,,,,,,16TR051,E,213.52
,,,,,,,,,,,,,16TR051,F,213.15
,,,,,,,,,,,,,16TR051,G,213
,,,,,,,,,,,,,16TR051,H,213.45
,,,,,,,,,,,,,16TR052,A,210.14
,,,,,,,,,,,,,16TR052,B,210.09
,,,,,,,,,,,,,16TR052,C,211.32
,,,,,,,,,,,,,16TR052,D,211.57
,,,,,,,,,,,,,16TR052,E,212.01
,,,,,,,,,,,,,16TR052,F,213.04
,,,,,,,,,,,,,16TR052,G,216.04
,,,,,,,,,,,,,16TR052,H,216.44
,,,,,,,,,,,,,16TR052,I,217.44
,,,,,,,,,,,,,16TR052,J,217.54
,,,,,,,,,,,,,16TR052,K,217.59
,,,,,,,,,,,,,16TR053,A,119.54
,,,,,,,,,,,,,16TR053,B,119.6
,,,,,,,,,,,,,16TR053,C,119.64
,,,,,,,,,,,,,16TR053,D,119.73
,,,,,,,,,,,,,16TR053,E,119.9
,,,,,,,,,,,,,16TR053,F,120.03
,,,,,,,,,,,,,16TR053,G,120.31
,,,,,,,,,,,,,16TR053,H,120.34
,,,,,,,,,,,,,16TR053,I,120.38
,,,,,,,,,,,,,16TR053,J,120.38
,,,,,,,,,,,,,16TR053,K,120.39
,,,,,,,,,,,,,16TR053,L,120.39
,,,,,,,,,,,,,16TR054,A,120.41
,,,,,,,,,,,,,16TR054,B,120.42
,,,,,,,,,,,,,16TR054,C,120.43
,,,,,,,,,,,,,16TR054,D,120.67
,,,,,,,,,,,,,16TR054,E,120.77
,,,,,,,,,,,,,16TR054,F,120.77
,,,,,,,,,,,,,16TR054,G,120.82
,,,,,,,,,,,,,16TR054,H,120.87
,,,,,,,,,,,,,16TR055,A,0.35
,,,,,,,,,,,,,16TR055,B,0.55
,,,,,,,,,,,,,16TR055,C,0.7
,,,,,,,,,,,,,16TR055,D,1.5
,,,,,,,,,,,,,16TR055,E,1.6
,,,,,,,,,,,,,16TR055,F,1.28
,,,,,,,,,,,,,16TR055,G,1.33
,,,,,,,,,,,,,16TR055,H,2.1
,,,,,,,,,,,,,16TR055,I,2.22
,,,,,,,,,,,,,16TR055,J,2.35
,,,,,,,,,,,,,16TR055,K,2.44
,,,,,,,,,,,,,16TR056,A,3.56
,,,,,,,,,,,,,16TR056,B,3.58
,,,,,,,,,,,,,16TR056,C,3.44
,,,,,,,,,,,,,16TR056,D,3.45
,,,,,,,,,,,,,16TR056,E,3.56
,,,,,,,,,,,,,16TR056,F,3.57
,,,,,,,,,,,,,16TR056,G,3.55
,,,,,,,,,,,,,16TR056,H,3.74
,,,,,,,,,,,,,16TR056,I,3.61
,,,,,,,,,,,,,16TR056,J,4.02
,,,,,,,,,,,,,16TR056,K,4.08
,,,,,,,,,,,,,16TR056,L,4.43
,,,,,,,,,,,,,16TR056,M,4.52
,,,,,,,,,,,,,16TR057,A,4.92
,,,,,,,,,,,,,16TR057,B,5.1
,,,,,,,,,,,,,16TR057,C,5.12
,,,,,,,,,,,,,16TR057,D,5.13
,,,,,,,,,,,,,16TR057,E,5.02
,,,,,,,,,,,,,16TR057,F,5.19
,,,,,,,,,,,,,16TR057,G,5.54
,,,,,,,,,,,,,16TR057,H,5.62
,,,,,,,,,,,,,16TR057,I,5.39
,,,,,,,,,,,,,16TR058,A,109.4
,,,,,,,,,,,,,16TR058,B,109.63
,,,,,,,,,,,,,16TR058,C,110.11
,,,,,,,,,,,,,16TR058,D,110.12
,,,,,,,,,,,,,16TR058,E,112.62
,,,,,,,,,,,,,16TR058,F,113.23
,,,,,,,,,,,,,16TR058,G,114.42
,,,,,,,,,,,,,16TR058,H,114.45
,,,,,,,,,,,,,16TR058,I,114.49
,,,,,,,,,,,,,16TR059,A,265.62
,,,,,,,,,,,,,16TR059,B,265.61
,,,,,,,,,,,,,16TR059,C,265.71
,,,,,,,,,,,,,16TR059,D,265.55
,,,,,,,,,,,,,16TR059,E,264.69
,,,,,,,,,,,,,16TR059,F,262.11
,,,,,,,,,,,,,16TR059,G,262.04
,,,,,,,,,,,,,16TR059,H,261.52
,,,,,,,,,,,,,16TR059,I,261.5
,,,,,,,,,,,,,16TR059,J,260.94
,,,,,,,,,,,,,16TR059,K,260.89
,,,,,,,,,,,,,16TR059,L,260.79
,,,,,,,,,,,,,16TR059,M,260.29
,,,,,,,,,,,,,16TR059,N,259.69
,,,,,,,,,,,,,16TR059,P,259.12
,,,,,,,,,,,,,16TR059,Q,258.5
,,,,,,,,,,,,,16TR060,A,356
,,,,,,,,,,,,,16TR060,B,356.13
,,,,,,,,,,,,,16TR060,C,356.13
,,,,,,,,,,,,,16TR060,D,356.18
,,,,,,,,,,,,,16TR060,E,355.98
,,,,,,,,,,,,,16TR060,F,356.22
,,,,,,,,,,,,,16TR060,G,356.29
,,,,,,,,,,,,,16TR060,H,356.11
,,,,,,,,,,,,,16TR060,I,356.11
,,,,,,,,,,,,,16TR061,A,356.32
,,,,,,,,,,,,,16TR061,B,356.35
,,,,,,,,,,,,,16TR061,C,356.32
,,,,,,,,,,,,,16TR061,D,356.39
,,,,,,,,,,,,,16TR061,E,356.37
,,,,,,,,,,,,,16TR061,F,356.38
,,,,,,,,,,,,,16TR061,G,356.43
,,,,,,,,,,,,,16TR061,H,356.38
,,,,,,,,,,,,,16TR061,I,356.41
,,,,,,,,,,,,,16TR061,J,357.19
,,,,,,,,,,,,,16TR061,K,357.15
,,,,,,,,,,,,,16TR061,L,357.35
,,,,,,,,,,,,,16TR062,A,360.55
,,,,,,,,,,,,,16TR062,B,361.13
,,,,,,,,,,,,,16TR062,C,361.5
,,,,,,,,,,,,,16TR062,D,362
,,,,,,,,,,,,,16TR062,E,362.42
,,,,,,,,,,,,,16TR062,F,362.7
,,,,,,,,,,,,,16TR062,G,362.8
,,,,,,,,,,,,,16TR062,H,362.77
,,,,,,,,,,,,,16TR063,A,381.3
,,,,,,,,,,,,,16TR063,B,381.45
,,,,,,,,,,,,,16TR063,C,381.41
,,,,,,,,,,,,,16TR063,D,381.73
,,,,,,,,,,,,,16TR063,E,381.78
,,,,,,,,,,,,,16TR063,F,381.86
,,,,,,,,,,,,,16TR063,G,382.56
,,,,,,,,,,,,,16TR063,H,382.58
,,,,,,,,,,,,,16TR063,I,382.63
,,,,,,,,,,,,,16TR063,J,382.61
,,,,,,,,,,,,,16TR063,K,382.62
,,,,,,,,,,,,,16TR064,A,381.3
,,,,,,,,,,,,,16TR064,B,381.97
,,,,,,,,,,,,,16TR064,C,382.57
,,,,,,,,,,,,,16TR064,D,383.15
,,,,,,,,,,,,,16TR064,E,383.54
,,,,,,,,,,,,,16TR064,F,383.84
,,,,,,,,,,,,,16TR064,G,384.08
,,,,,,,,,,,,,16TR065,A,385.78
,,,,,,,,,,,,,16TR065,B,385.78
,,,,,,,,,,,,,16TR065,C,385.74
,,,,,,,,,,,,,16TR065,D,386.1
,,,,,,,,,,,,,16TR065,E,386.4
,,,,,,,,,,,,,16TR065,F,387.18
,,,,,,,,,,,,,16TR065,G,385.22
,,,,,,,,,,,,,16TR065,H,385.24
,,,,,,,,,,,,,16TR065,I,385.39
,,,,,,,,,,,,,16TR065,J,385.87
,,,,,,,,,,,,,16TR065,K,385.66
,,,,,,,,,,,,,16TR065,L,385.89
,,,,,,,,,,,,,16TR065,M,385.89
,,,,,,,,,,,,,16TR066,A,486.8
,,,,,,,,,,,,,16TR066,B,487
,,,,,,,,,,,,,16TR066,C,487.52
,,,,,,,,,,,,,16TR066,D,488.37
,,,,,,,,,,,,,16TR066,E,488.32
,,,,,,,,,,,,,16TR066,F,489.82
,,,,,,,,,,,,,16TR066,G,488.74
,,,,,,,,,,,,,16TR066,H,489.71
,,,,,,,,,,,,,16TR066,I,489.66
,,,,,,,,,,,,,16TR066,J,489.84
,,,,,,,,,,,,,16TR067,A,496.09
,,,,,,,,,,,,,16TR067,B,496.64
,,,,,,,,,,,,,16TR067,C,497
,,,,,,,,,,,,,16TR067,D,497.3
,,,,,,,,,,,,,16TR067,E,497.31
,,,,,,,,,,,,,16TR067,F,498.36
,,,,,,,,,,,,,16TR067,G,498.61
,,,,,,,,,,,,,16TR067,H,498.71
,,,,,,,,,,,,,16TR068,A,516.71
,,,,,,,,,,,,,16TR068,B,516.95
,,,,,,,,,,,,,16TR068,C,517.34
,,,,,,,,,,,,,16TR068,D,518
,,,,,,,,,,,,,16TR068,E,517.77
,,,,,,,,,,,,,16TR068,F,517.92
,,,,,,,,,,,,,16TR068,G,519.23
,,,,,,,,,,,,,16TR068,H,519.27
,,,,,,,,,,,,,16TR069,A,520.77
,,,,,,,,,,,,,16TR069,B,521.07
,,,,,,,,,,,,,16TR069,C,521.29
,,,,,,,,,,,,,16TR069,D,521.42
,,,,,,,,,,,,,16TR069,E,521.78
,,,,,,,,,,,,,16TR069,F,522.38
,,,,,,,,,,,,,16TR069,G,522.55
,,,,,,,,,,,,,16TR069,H,523.55
,,,,,,,,,,,,,16TR069,I,523.45
